coachID,Coach,From,To,Birth Date,College,Team ,Active
1,Rick Adelman,1989,2014,June 16 1946,Loyola Marymount University,Golden State Warriors,0
2,Richie Adubato,1980,1997,November 23 1937,,Phoenix Suns,0
3,Danny Ainge,1997,2000,March 17 1959,Brigham Young University,San Antonio Spurs,0
4,Stan Albeck,1971,1986,May 17 1931,Bradley University,Minnesota Timberwolves,0
5,LaDell Andersen,1972,1973,October 25 1929,Utah State University,Orlando Magic,0
6,Jack Ankerson,1976,1976,March 1 1942,Ripon College,Phoenix Suns,0
7,Curly Armstrong,1949,1949,November 1 1918,Indiana University,New York Knicks,0
8,Kenny Atkinson,2017,2019,June 2 1967,University of Richmond,Brooklyn Nets,1
9,Al Attles*,1970,1983,November 7 1936,North Carolina Agricultural and Technical State University,Toronto Raptors,0
10,Red Auerbach*,1947,1966,September 20 1917,George Washington University,Utah Jazz,0
11,Randy Ayers,2004,2004,April 16 1956,Miami University,Chicago Bulls,0
12,Johnny Bach,1980,1986,July 10 1924,Fordham University,Phoenix Suns,0
13,Ed Badger,1977,1978,November 5 1932,University of Iowa,Sacramento Kings,0
14,Tony Barone,2007,2007,July 20 1946,,Houston Rockets,0
15,Tom Barrise,2010,2010,,,Dallas Mavericks,0
16,Bob Bass,1968,1992,January 28 1929,Oklahoma Baptist University,Sacramento Kings,0
17,Elgin Baylor*,1975,1979,September 16 1934,Seattle University,Los Angeles Lakers,0
18,Butch Beard,1995,1996,May 4 1947,University of Louisville,Phoenix Suns,0
19,Zelmo Beaty*,1976,1976,October 25 1939,Prairie View A&M University,Charlotte Hornets,0
20,Clair Bee*,1953,1954,March 3 1896,Waynesburg College,Toronto Raptors,0
21,Joe Belmont,1970,1971,July 12 1934,Duke University,Phoenix Suns,0
22,Carl Bennett,1949,1949,December 7 1915,,Phoenix Suns,0
23,Bill Berry,2002,2002,,Michigan State University,Golden State Warriors,0
24,Bill Bertka,1994,1999,August 8 1927,Kent State University,Denver Nuggets,0
25,Al Bianchi,1968,1976,March 26 1932,Bowling Green State University,Memphis Grizzlies,0
26,Bernie Bickerstaff,1986,2013,February 11 1944,University of San Diego,Oklahoma City Thunder,0
27,J.B. Bickerstaff,2016,2019,March 10 1979,University of Minnesota,Memphis Grizzlies,1
28,Mark Binstein,1972,1972,,United States Military Academy,Brooklyn Nets,0
29,Paul Birch,1947,1954,January 10 1910,Duquesne University,Oklahoma City Thunder,0
30,Larry Bird*,1998,2000,December 7 1956,Indiana State University,Phoenix Suns,0
31,Bill Blair,1983,1996,March 17 1942,Virginia Military Institute,Cleveland Cavaliers,0
32,Bill Blakeley,1971,1971,June 13 1934,,Denver Nuggets,0
33,David Blatt,2015,2016,May 22 1959,Princeton University,Philadelphia 76ers,0
34,Harold Blitman,1970,1971,February 12 1930,West Chester University of Pennsylvania,New Orleans Pelicans,0
35,James Borrego,2015,2019,,University of San Diego,Charlotte Hornets,1
36,Vince Boryla,1956,1958,March 11 1927,University of Denver,Los Angeles Lakers,0
37,Jeff Bower,2010,2010,April 26 1961,,Philadelphia 76ers,0
38,Jim Boylan,2008,2013,,Marquette University,Minnesota Timberwolves,0
39,Jim Boylen,2019,2019,,,Chicago Bulls,1
40,Carl Braun*,1960,1961,September 25 1927,Colgate University,Utah Jazz,0
41,Al Brightman,1968,1968,September 22 1923,University of Charleston,Portland Trail Blazers,0
42,Allan Bristow,1992,1996,August 23 1951,Virginia Polytechnic Institute and State University,Phoenix Suns,0
43,Scott Brooks,2009,2019,July 31 1965,University of California Irvine,Washington Wizards,1
