draftPickID,Year,Team ID,Rd,Pk,Player,College
1,2018,Golden State Warriors,1,28,Jacob Evans,University of Cincinnati
2,2016,Golden State Warriors,1,30,Damian Jones,Vanderbilt University
3,2015,Golden State Warriors,1,30,Kevon Looney,University of California Los Angeles
4,2012,Golden State Warriors,1,7,Harrison Barnes,University of North Carolina
5,2012,Golden State Warriors,1,30,Festus Ezeli,Vanderbilt University
6,2012,Golden State Warriors,2,35,Draymond Green,Michigan State University
7,2012,Golden State Warriors,2,52,Ognjen Kuzmic,
8,2011,Golden State Warriors,1,11,Klay Thompson,Washington State University
9,2011,Golden State Warriors,2,44,Charles Jenkins,Hofstra University
10,2010,Golden State Warriors,1,6,Ekpe Udoh,Baylor University
11,2009,Golden State Warriors,1,7,Stephen Curry,Davidson College
12,2008,Golden State Warriors,1,14,Anthony Randolph,Louisiana State University
13,2008,Golden State Warriors,2,49,Richard Hendrix,
14,2007,Golden State Warriors,1,18,Marco Belinelli,
15,2007,Golden State Warriors,2,36,Jermareo Davidson,University of Alabama
16,2007,Golden State Warriors,2,46,Stephane Lasme,University of Massachusetts Amherst
17,2006,Golden State Warriors,1,9,Patrick O'Bryant,Bradley University
18,2006,Golden State Warriors,2,38,Kosta Perovic,
19,2005,Golden State Warriors,1,9,Ike Diogu,Arizona State University
20,2005,Golden State Warriors,2,40,Monta Ellis,
21,2005,Golden State Warriors,2,42,Chris Taft,University of Pittsburgh
22,2004,Golden State Warriors,1,11,Andris Biedrins,
23,2003,Golden State Warriors,1,11,Mickael Pietrus,
24,2003,Golden State Warriors,2,40,Derrick Zimmerman,Mississippi State University
25,2002,Golden State Warriors,1,3,Mike Dunleavy,Duke University
26,2002,Golden State Warriors,2,30,Steve Logan,
27,2001,Golden State Warriors,1,5,Jason Richardson,Michigan State University
28,2001,Golden State Warriors,1,14,Troy Murphy,University of Notre Dame
29,2001,Golden State Warriors,2,31,Gilbert Arenas,University of Arizona
30,2000,Golden State Warriors,2,55,Chris Porter,Auburn University
31,1999,Golden State Warriors,1,21,Jeff Foster,Texas State University
32,1999,Golden State Warriors,2,56,Tim Young,Stanford University
33,1998,Golden State Warriors,1,5,Vince Carter,University of North Carolina
34,1997,Golden State Warriors,1,8,Adonal Foyle,Colgate University
35,1997,Golden State Warriors,2,37,Marc Jackson,Temple University
36,1996,Golden State Warriors,1,11,Todd Fuller,North Carolina State University
37,1996,Golden State Warriors,2,40,Marcus Mann,
38,1995,Golden State Warriors,1,1,Joe Smith,University of Maryland
39,1995,Golden State Warriors,2,34,Andrew DeClercq,University of Florida
40,1995,Golden State Warriors,2,40,Dwayne Whitfield,Jackson State University
41,1995,Golden State Warriors,2,50,Martin Lewis,Seward County Community College
42,1995,Golden State Warriors,2,55,Michael McDonald,University of New Orleans
43,1994,Golden State Warriors,1,16,Clifford Rozier,University of Louisville
44,1994,Golden State Warriors,2,39,Anthony Miller,Michigan State University
45,1994,Golden State Warriors,2,45,Dwayne Morton,University of Louisville
46,1993,Golden State Warriors,1,3,Anfernee Hardaway,University of Memphis
47,1993,Golden State Warriors,2,34,Darnell Mee,Western Kentucky University
48,1992,Golden State Warriors,1,24,Latrell Sprewell,University of Alabama
49,1992,Golden State Warriors,2,43,Sasha Danilovic,
50,1992,Golden State Warriors,2,50,Matt Fish,University of North Carolina at Wilmington
51,1991,Golden State Warriors,1,16,Chris Gatling,Old Dominion University
52,1991,Golden State Warriors,1,17,Victor Alexander,Iowa State University
53,1991,Golden State Warriors,1,25,Shaun Vandiver,
54,1991,Golden State Warriors,2,43,Lamont Strothers,Christopher Newport University
55,1990,Golden State Warriors,1,11,Tyrone Hill,Xavier University
56,1990,Golden State Warriors,2,28,Les Jepsen,University of Iowa
57,1990,Golden State Warriors,2,34,Kevin Pritchard,University of Kansas
58,1989,Golden State Warriors,1,14,Tim Hardaway,University of Texas at El Paso
59,1988,Golden State Warriors,1,5,Mitch Richmond,Kansas State University
60,1988,Golden State Warriors,2,41,Keith Smart,Indiana University
61,1987,Golden State Warriors,1,14,Tellis Frank,Western Kentucky University
62,1987,Golden State Warriors,3,58,Darryl Johnson,Michigan State University
63,1987,Golden State Warriors,4,83,Benny Bolton,
64,1987,Golden State Warriors,5,105,Terry Williams,
65,1987,Golden State Warriors,6,127,Sarunas Marciulionis,
66,1987,Golden State Warriors,7,152,Ronnie Leggette,
67,1986,Golden State Warriors,1,3,Chris Washburn,North Carolina State University
68,1986,Golden State Warriors,3,51,Mike Williams,Bradley University
69,1986,Golden State Warriors,3,59,Wendell Alexis,
70,1986,Golden State Warriors,4,75,Dan Bingenheimer,
71,1986,Golden State Warriors,5,97,Clinton Smith,Cleveland State University
72,1986,Golden State Warriors,6,121,Bobby Lee Hurt,
73,1986,Golden State Warriors,7,143,Steve Kenilvort,
74,1985,Golden State Warriors,1,7,Chris Mullin,St. John's University
75,1985,Golden State Warriors,2,42,Bobby Lee Hurt,
76,1985,Golden State Warriors,3,49,Brad Wright,University of California Los Angeles
