SeasonYear,Round,Dates,winner,loser,seriesLen
2018,Eastern Conf First Round,Apr 14 - Apr 27 2018,Toronto Raptors,Washington Wizards,6
2018,Eastern Conf First Round,Apr 15 - Apr 28 2018,Boston Celtics,Milwaukee Bucks,7
2018,Eastern Conf First Round,Apr 14 - Apr 24 2018,Philadelphia 76ers,Miami Heat,5
2018,Eastern Conf First Round,Apr 15 - Apr 29 2018,Cleveland Cavaliers,Indiana Pacers,7
2018,Western Conf First Round,Apr 15 - Apr 25 2018,Houston Rockets,Minnesota Timberwolves,5
2018,Western Conf First Round,Apr 14 - Apr 24 2018,Golden State Warriors,San Antonio Spurs,5
2018,Western Conf First Round,Apr 14 - Apr 21 2018,New Orleans Pelicans,Portland Trail Blazers,4
2018,Western Conf First Round,Apr 15 - Apr 27 2018,Utah Jazz,Oklahoma City Thunder,6
2018,Western Conf Semifinals,Apr 28 - May 8 2018,Golden State Warriors,New Orleans Pelicans,5
2018,Western Conf Semifinals,Apr 29 - May 8 2018,Houston Rockets,Utah Jazz,5
2018,Eastern Conf Semifinals,Apr 30 - May 9 2018,Boston Celtics,Philadelphia 76ers,5
2018,Eastern Conf Semifinals,May 1 - May 7 2018,Cleveland Cavaliers,Toronto Raptors,4
2018,Eastern Conf Finals,May 13 - May 27 2018,Cleveland Cavaliers,Boston Celtics,7
2018,Western Conf Finals,May 14 - May 28 2018,Golden State Warriors,Houston Rockets,7
2018,Finals,May 31 - Jun 8 2018,Golden State Warriors,Cleveland Cavaliers,4
2017,Eastern Conf First Round,Apr 16 - Apr 28 2017,Boston Celtics,Chicago Bulls,6
2017,Eastern Conf First Round,Apr 15 - Apr 23 2017,Cleveland Cavaliers,Indiana Pacers,4
2017,Eastern Conf First Round,Apr 15 - Apr 27 2017,Toronto Raptors,Milwaukee Bucks,6
2017,Eastern Conf First Round,Apr 16 - Apr 28 2017,Washington Wizards,Atlanta Hawks,6
2017,Western Conf First Round,Apr 16 - Apr 24 2017,Golden State Warriors,Portland Trail Blazers,4
2017,Western Conf First Round,Apr 15 - Apr 27 2017,San Antonio Spurs,Memphis Grizzlies,6
2017,Western Conf First Round,Apr 16 - Apr 25 2017,Houston Rockets,Oklahoma City Thunder,5
2017,Western Conf First Round,Apr 15 - Apr 30 2017,Utah Jazz,Los Angeles Clippers,7
2017,Eastern Conf Semifinals,May 1 - May 7 2017,Cleveland Cavaliers,Toronto Raptors,4
2017,Eastern Conf Semifinals,Apr 30 - May 15 2017,Boston Celtics,Washington Wizards,7
2017,Western Conf Semifinals,May 2 - May 8 2017,Golden State Warriors,Utah Jazz,4
2017,Western Conf Semifinals,May 1 - May 11 2017,San Antonio Spurs,Houston Rockets,6
2017,Western Conf Finals,May 14 - May 22 2017,Golden State Warriors,San Antonio Spurs,4
2017,Eastern Conf Finals,May 17 - May 25 2017,Cleveland Cavaliers,Boston Celtics,5
2017,Finals,Jun 1 - Jun 12 2017,Golden State Warriors,Cleveland Cavaliers,5
2016,Eastern Conf First Round,Apr 17 - Apr 24 2016,Cleveland Cavaliers,Detroit Pistons,4
2016,Eastern Conf First Round,Apr 16 - May 1 2016,Toronto Raptors,Indiana Pacers,7
2016,Eastern Conf First Round,Apr 17 - May 1 2016,Miami Heat,Charlotte Hornets,7
2016,Eastern Conf First Round,Apr 16 - Apr 28 2016,Atlanta Hawks,Boston Celtics,6
2016,Western Conf First Round,Apr 16 - Apr 27 2016,Golden State Warriors,Houston Rockets,5
2016,Western Conf First Round,Apr 17 - Apr 24 2016,San Antonio Spurs,Memphis Grizzlies,4
2016,Western Conf First Round,Apr 16 - Apr 25 2016,Oklahoma City Thunder,Dallas Mavericks,5
2016,Western Conf First Round,Apr 17 - Apr 29 2016,Portland Trail Blazers,Los Angeles Clippers,6
2016,Eastern Conf Semifinals,May 2 - May 8 2016,Cleveland Cavaliers,Atlanta Hawks,4
2016,Eastern Conf Semifinals,May 3 - May 15 2016,Toronto Raptors,Miami Heat,7
2016,Western Conf Semifinals,May 1 - May 11 2016,Golden State Warriors,Portland Trail Blazers,5
2016,Western Conf Semifinals,Apr 30 - May 12 2016,Oklahoma City Thunder,San Antonio Spurs,6
